element_id,element_type,floor,length_m,width_m,height_m,quantity_elements,material_type,unit_cost_per_sqm,wastage_percent,planned_start_week,planned_end_week,formwork_area_per_element_sqm,total_formwork_area_sqm,boq_area_sqm,actual_area_sqm,boq_adjustment_factor,actual_cost,duration_weeks,weekly_area_demand_sqm
2616,Slab,17,6.0,5.0,0.15,1,Plywood,443,13,17,21,3.3,3.729,3.9090284123194308,3.729,0.9539454838056267,1831.787544843315,5,0.7458
2617,Column,25,0.23,0.45,3.2,8,Steel,950,8,24,27,4.352,37.601,36.068556789633334,37.601,1.0424869566948438,37914.89531472717,4,9.40025
2618,Slab,2,10.0,4.0,0.15,1,Plywood,519,13,3,5,4.2,4.746,5.497129726740192,4.746,0.8633596505670219,2574.9366099429444,3,1.582
2619,Slab,17,6.0,4.0,0.15,1,Plywood,450,13,16,19,3.0,3.39,3.888059766050078,3.39,0.8719001774615048,1533.2889088596248,4,0.8475
2620,Slab,24,10.0,4.0,0.15,1,Plywood,470,15,23,25,4.2,4.83,5.654214869524642,4.83,0.8542300056605499,2603.2805770077844,3,1.61
2621,Column,22,0.35,0.55,2.8,11,Steel,953,11,23,27,5.04,61.538,71.58365354117353,61.538,0.8596655375323157,64183.829469333,5,12.307599999999999
2622,Slab,10,6.0,4.0,0.15,1,Plywood,485,14,11,15,3.0,3.42,4.062545764873041,3.42,0.8418366703881004,1833.8798343104763,5,0.6839999999999999
2623,Column,3,0.3,0.6,2.8,29,Steel,931,8,4,7,5.04,157.853,152.88076775153834,157.853,1.0325235954894112,162207.2131632577,4,39.46325
2624,Column,24,0.4,0.4,3.3,13,Steel,897,8,23,26,5.28,74.131,87.44101995028426,74.131,0.8477828831611085,70937.61403005107,4,18.53275
2625,Beam,24,0.23,0.45,4.0,24,Steel,905,10,23,25,5.44,143.616,153.86500610676256,143.616,0.9333896227212894,147900.8537885047,3,47.87200000000001
2626,Column,15,0.4,0.4,3.3,32,Steel,944,8,15,19,5.28,182.477,187.35799062843978,182.477,0.9739483188730416,183758.99213405722,5,36.495400000000004
2627,Wall,25,4.0,0.2,3.0,15,Plywood,545,10,25,27,25.2,415.8,444.1210397830325,415.8,0.9362312584946028,238850.0600172073,3,138.6
2628,Wall,1,4.5,0.2,3.0,16,Plywood,506,10,1,3,28.2,496.32,497.70012049579975,496.32,0.9972270038945843,252328.8382384717,3,165.44
2629,Column,16,0.23,0.45,2.8,15,Steel,942,8,16,19,3.808,61.69,60.86125049982634,61.69,1.013617030431802,58480.82742782418,4,15.4225
2630,Slab,1,6.0,4.0,0.15,1,Plywood,501,14,1,3,3.0,3.42,3.3255885107649448,3.42,1.0283894080489648,1880.2673244375505,3,1.14
2631,Beam,24,0.23,0.45,4.5,28,Steel,916,10,24,28,6.12,188.496,174.3076038902132,188.496,1.0813986067912638,175589.56420739825,5,37.699200000000005
2632,Slab,18,8.0,4.0,0.15,1,Plywood,409,12,17,19,3.6,4.032,4.229444899589238,4.032,0.9533165925371404,1806.9752290584888,3,1.344
2633,Wall,23,5.0,0.2,3.0,9,Plywood,514,11,22,26,31.2,311.688,363.53059835397306,311.688,0.8573913761628025,182723.42916402363,5,62.337599999999995
2634,Beam,15,0.23,0.45,5.5,18,Steel,921,10,14,16,7.48,148.104,161.29200817722403,148.104,0.9182352038004677,141568.2341431927,3,49.368
2635,Column,3,0.4,0.4,2.8,26,Steel,1013,9,3,6,4.48,126.963,134.11008877847135,126.963,0.94670729962548,124686.32173393761,4,31.74075
2636,Column,1,0.4,0.4,2.8,28,Steel,926,8,2,5,4.48,135.475,139.34658768001287,135.475,0.9722161285434319,135900.9887201611,4,33.86875
2637,Beam,9,0.25,0.5,4.5,13,Steel,841,10,8,12,6.75,96.525,100.3204100940801,96.525,0.9621671194274348,77273.25997870722,5,19.305
2638,Wall,19,6.0,0.2,3.0,23,Plywood,561,10,19,23,37.2,941.16,906.1330405322451,941.16,1.038655426853413,584697.3394638472,5,188.232
2639,Beam,4,0.3,0.6,4.5,26,Steel,919,13,5,9,8.1,237.978,272.93239025479767,237.978,0.871930223370829,230758.94758204443,5,47.595600000000005
2640,Beam,22,0.25,0.5,5.5,21,Steel,850,11,21,24,8.25,192.308,184.52238927082323,192.308,1.0421933119332736,171299.21151704437,4,48.077
2641,Column,6,0.4,0.4,3.0,15,Steel,969,8,7,11,4.8,77.76,86.70137566893477,77.76,0.8968715824870299,80163.39758238375,5,15.552000000000001
2642,Wall,13,3.0,0.2,3.0,7,Plywood,477,11,13,16,19.2,149.184,168.27888118651262,149.184,0.88652835666676,74952.33531763121,4,37.296
2643,Column,6,0.35,0.55,3.3,21,Steel,933,11,5,7,5.94,138.461,148.49398272846065,138.461,0.9324350889907292,131090.28328330585,3,46.15366666666667
2644,Slab,12,6.0,4.0,0.15,1,Plywood,439,16,11,13,3.0,3.48,4.032895135452841,3.48,0.8629036667498774,1537.3473582990343,3,1.16
2645,Slab,12,6.0,4.0,0.15,1,Plywood,495,13,12,15,3.0,3.39,3.346998208442311,3.39,1.012847868113351,1733.5254807599852,4,0.8475
2646,Column,1,0.3,0.6,2.8,29,Steel,987,9,1,5,5.04,159.314,185.51878979552566,159.314,0.8587485945525628,177524.40146673768,5,31.8628
2647,Column,15,0.35,0.55,2.8,35,Steel,997,11,14,16,5.04,195.804,219.07004568941466,195.804,0.8937963169898637,190741.07045515475,3,65.268
2648,Beam,20,0.3,0.6,6.0,6,Steel,955,10,20,22,10.8,71.28,81.23246631685748,71.28,0.8774816675141115,69090.28110629754,3,23.76
2649,Column,24,0.23,0.45,3.3,34,Steel,941,11,25,28,4.488,169.377,186.2086552381824,169.377,0.9096086311527638,157544.48208585678,4,42.34425
2650,Slab,9,6.0,5.0,0.15,1,Plywood,508,15,9,11,3.3,3.795,4.379061524843079,3.795,0.8666240422680499,1996.1590583945858,3,1.265
2651,Slab,23,10.0,4.0,0.15,1,Plywood,475,14,22,26,4.2,4.788,5.735687206407612,4.788,0.8347735550591209,2221.308090922366,5,0.9576
2652,Column,22,0.4,0.4,2.8,11,Steel,980,8,23,27,4.48,53.222,54.608372233053096,53.222,0.9746124600246927,57485.930575968494,5,10.644400000000001
2653,Beam,25,0.3,0.6,4.0,21,Steel,919,11,25,29,7.2,167.832,192.02912910850335,167.832,0.8739924030232356,149717.44022764836,5,33.5664
2654,Column,10,0.23,0.45,3.0,31,Steel,950,11,10,14,4.08,140.393,157.7138358534046,140.393,0.8901755463642115,144450.3293107498,5,28.0786
2655,Column,22,0.35,0.55,2.8,20,Steel,965,9,23,25,5.04,109.872,113.81212525413325,109.872,0.9653804439084565,106402.0326811038,3,36.624
2656,Slab,15,10.0,4.0,0.15,1,Plywood,458,12,16,18,4.2,4.704,5.541710428422521,4.704,0.8488354021303527,2250.1706478620094,3,1.5679999999999998
2657,Slab,2,7.5,4.0,0.15,1,Plywood,466,14,1,5,3.45,3.933,4.005083154302704,3.933,0.9820020829716696,1814.4458073001504,5,0.7866
2658,Slab,7,10.0,4.0,0.15,1,Plywood,501,13,7,9,4.2,4.746,5.076510371594107,4.746,0.9348941797807613,2606.1159865957347,3,1.582
2659,Column,17,0.23,0.45,3.3,37,Steel,959,11,17,21,4.488,184.322,171.74805213758643,184.322,1.0732115893363416,201450.9208382531,5,36.8644
2660,Beam,5,0.23,0.45,5.5,17,Steel,906,13,4,7,7.48,143.691,139.05445902317277,143.691,1.033343346264463,129448.3834388506,4,35.92275
2661,Beam,11,0.3,0.6,5.5,6,Steel,947,11,10,12,9.9,65.934,75.96973839239187,65.934,0.8678982104616945,71220.40466133573,3,21.977999999999998
2662,Wall,20,6.0,0.2,3.0,21,Plywood,561,12,19,22,37.2,874.944,891.5380276568288,874.944,0.9813871902913195,498233.116453951,4,218.736
2663,Slab,4,7.5,4.0,0.15,1,Plywood,405,12,3,6,3.45,3.864,3.9344222764501673,3.864,0.9821009867518069,1661.271237732572,4,0.966
2664,Wall,13,6.0,0.2,3.0,19,Plywood,521,10,12,16,37.2,777.48,757.105596606853,777.48,1.0269109137278336,441651.92456871545,5,155.496
2665,Column,6,0.35,0.55,2.8,18,Steel,998,10,7,10,5.04,99.792,104.53043354406346,99.792,0.9546693399863684,98581.9237813818,4,24.948
2666,Beam,14,0.23,0.45,6.0,6,Steel,867,13,15,18,8.16,55.325,63.16704701601696,55.325,0.8758522459657092,49835.21459298898,4,13.83125
2667,Slab,7,7.5,4.0,0.15,1,Plywood,501,14,7,11,3.45,3.933,4.595904142561235,3.933,0.8557619737056118,1898.641251241461,5,0.7866
2668,Beam,25,0.3,0.6,4.5,16,Steel,917,12,26,28,8.1,145.152,133.6899750120232,145.152,1.0857358600519296,145005.34749461667,3,48.38399999999999
2669,Beam,2,0.23,0.45,5.0,13,Steel,969,11,2,4,6.8,98.124,105.23271282966151,98.124,0.9324476900907395,98250.5999775515,3,32.708
2670,Beam,25,0.23,0.45,4.5,22,Steel,848,10,26,29,6.12,148.104,154.0551164634979,148.104,0.9613702121674877,141709.30066780435,4,37.026
2671,Wall,20,5.0,0.2,3.0,5,Plywood,537,12,20,23,31.2,174.72,189.44619747431824,174.72,0.9222671255974163,94274.84606165894,4,43.68
2672,Column,22,0.23,0.45,3.3,34,Steel,963,11,23,25,4.488,169.377,175.16676420643856,169.377,0.9669471304521264,185084.28027282865,3,56.459
2673,Wall,22,5.0,0.2,3.0,8,Plywood,556,12,23,25,31.2,279.552,285.0293870877642,279.552,0.9807830794440939,152043.7567374786,3,93.18400000000001
2674,Beam,5,0.23,0.6,5.5,21,Steel,930,10,6,9,9.13,210.903,219.66901736805497,210.903,0.9600944299151322,210142.855536201,4,52.72575
2675,Beam,24,0.3,0.6,4.5,21,Steel,860,13,24,26,8.1,192.213,206.55203956069695,192.213,0.9305790463691678,167214.35519257662,3,64.071
2676,Beam,15,0.25,0.5,4.5,23,Steel,970,12,15,18,6.75,173.88,182.6252882202616,173.88,0.9521134870998038,166362.40818343617,4,43.47
2677,Column,25,0.23,0.45,3.2,27,Steel,953,10,24,28,4.352,129.254,134.63656766166676,129.254,0.9600215026634308,119334.32743985993,5,25.8508
2678,Wall,22,3.0,0.2,3.0,22,Plywood,474,12,22,26,19.2,473.088,541.8516213352345,473.088,0.873095108277453,242436.27062738474,5,94.61760000000001
2679,Wall,15,5.0,0.2,3.0,14,Plywood,545,11,15,18,31.2,484.848,544.8209811767078,484.848,0.8899216747358412,263352.61166543176,4,121.212
2680,Wall,10,4.0,0.2,3.0,12,Plywood,551,11,10,12,25.2,335.664,336.4741412612508,335.664,0.9975922629352317,196891.82488483845,3,111.88799999999999
2681,Wall,3,4.5,0.2,3.0,11,Plywood,491,12,2,6,28.2,347.424,396.1235113426928,347.424,0.8770597807294451,195470.78940958015,5,69.48479999999999
2682,Slab,3,10.0,4.0,0.15,1,Plywood,453,12,4,7,4.2,4.704,5.43827182409915,4.704,0.8649806688872558,2159.0237668750988,4,1.176
2683,Beam,10,0.3,0.6,4.5,25,Steel,906,11,11,13,8.1,224.775,212.6478631388951,224.775,1.0570291969178351,194887.0960243085,3,74.925
2684,Wall,21,3.0,0.2,3.0,12,Plywood,499,11,22,24,19.2,255.744,274.87486304786137,255.744,0.9304015549631023,124880.74066428057,3,85.248
2685,Column,13,0.3,0.6,3.2,26,Steel,961,9,13,17,5.76,163.238,160.88632776334453,163.238,1.0146169800091072,152771.7818223085,5,32.6476
2686,Slab,13,7.5,4.0,0.15,1,Plywood,500,14,14,18,3.45,3.933,4.41184942264134,3.933,0.8914628817148849,2050.384411249819,5,0.7866
2687,Beam,7,0.3,0.6,5.0,28,Steel,940,11,8,11,9.0,279.72,271.7859096984633,279.72,1.0291924269007886,288949.1675809485,4,69.93
2688,Slab,15,8.0,4.0,0.15,1,Plywood,472,16,16,18,3.6,4.176,4.599534335083975,4.176,0.9079179968603839,1989.381045674364,3,1.3920000000000001
2689,Beam,16,0.23,0.45,5.0,25,Steel,922,13,16,18,6.8,192.1,187.59283392860144,192.1,1.0240263232715703,173426.61347386643,3,64.03333333333333
2690,Beam,25,0.25,0.5,4.5,18,Steel,920,10,26,28,6.75,133.65,140.77930919472357,133.65,0.9493582598500862,132567.58001085444,3,44.550000000000004
2691,Column,19,0.4,0.4,3.3,11,Steel,915,11,19,21,5.28,64.469,76.36958674202668,64.469,0.8441711255787414,59592.95024982722,3,21.489666666666665
2692,Beam,16,0.25,0.5,4.5,19,Steel,904,10,15,17,6.75,141.075,143.10538829632242,141.075,0.9858119367796397,135825.71199088354,3,47.025
2693,Beam,23,0.23,0.6,5.5,18,Steel,892,13,22,26,9.13,185.704,215.92204193919346,185.704,0.8600511477762736,188301.5388311004,5,37.1408
2694,Column,11,0.4,0.4,2.8,19,Steel,952,11,11,15,4.48,94.483,113.00954545976627,94.483,0.8360621186078294,90691.62965877829,5,18.8966
2695,Column,24,0.4,0.4,2.8,29,Steel,954,9,25,29,4.48,141.613,164.61877597555366,141.613,0.8602481652580743,142191.26253042815,5,28.3226
2696,Beam,10,0.23,0.6,4.5,15,Steel,866,11,11,13,7.47,124.376,118.12732599386115,124.376,1.0528977859573625,119704.41548028869,3,41.458666666666666
2697,Column,4,0.35,0.55,2.8,35,Steel,1009,11,4,7,5.04,195.804,224.37130740535892,195.804,0.8726784287362199,215019.95297183617,4,48.951
2698,Slab,11,6.0,5.0,0.15,1,Plywood,439,16,11,14,3.3,3.828,3.4821203653334845,3.828,1.0993301777014794,1849.0380121782046,4,0.957
2699,Column,4,0.23,0.45,3.0,7,Steel,940,10,5,8,4.08,31.416,31.98119159348924,31.416,0.9823273753938455,32617.443422330096,4,7.854
2700,Beam,3,0.3,0.6,4.0,15,Steel,894,10,3,5,7.2,118.8,137.95293742504865,118.8,0.8611632504349199,112365.43375096434,3,39.6
2701,Column,23,0.3,0.6,2.8,32,Steel,882,11,23,26,5.04,179.021,198.10923296414805,179.021,0.9036479386722855,166930.16438275127,4,44.75525
2702,Beam,20,0.25,0.5,6.0,27,Steel,953,11,20,24,9.0,269.73,285.86582263975373,269.73,0.9435545582513095,281158.555593449,5,53.946000000000005
2703,Beam,6,0.25,0.5,4.0,15,Steel,958,11,6,10,6.0,99.9,101.53428483172615,99.9,0.9839041085044853,104272.56391452036,5,19.98
2704,Beam,21,0.25,0.5,5.0,22,Steel,928,11,20,24,7.5,183.15,209.46665572380988,183.15,0.8743635084406493,184242.06895260204,5,36.63
2705,Beam,2,0.23,0.6,5.5,13,Steel,914,10,3,7,9.13,130.559,145.29487069832274,130.559,0.8985795532388822,122484.47703402178,5,26.1118
2706,Beam,8,0.23,0.45,6.0,15,Steel,887,13,9,11,8.16,138.312,143.91662297000494,138.312,0.9610564585636988,136878.18385676516,3,46.104000000000006
2707,Column,18,0.35,0.55,3.0,28,Steel,921,10,18,22,5.4,166.32,194.21939848941318,166.32,0.8563511229753192,152758.02973198262,5,33.263999999999996
2708,Beam,8,0.23,0.6,6.0,10,Steel,888,13,9,12,9.96,112.548,109.05725685283544,112.548,1.032008352748823,98058.34507159395,4,28.137
2709,Beam,19,0.25,0.5,5.0,8,Steel,870,13,20,24,7.5,67.8,64.48576329628644,67.8,1.0513948588696387,60108.647731351746,5,13.559999999999999
2710,Slab,22,7.5,4.0,0.15,1,Plywood,429,13,22,25,3.45,3.898,4.2598947220116905,3.898,0.9150460878430372,1673.5233522234528,4,0.9745
2711,Beam,2,0.23,0.45,4.0,16,Steel,909,10,1,4,5.44,95.744,114.08838790429148,95.744,0.8392089831291109,94223.25790431531,4,23.936
2712,Slab,1,10.0,4.0,0.15,1,Plywood,495,16,1,4,4.2,4.872,4.746190207545175,4.872,1.0265075327690873,2402.484378109458,4,1.218
2713,Beam,24,0.23,0.6,4.5,5,Steel,825,13,25,29,7.47,42.206,41.14667640398433,42.206,1.0257450586194392,37650.74116937707,5,8.4412
2714,Column,14,0.4,0.4,3.2,27,Steel,958,8,13,15,5.12,149.299,140.6172115505721,149.299,1.0617405817801013,150558.11124899273,3,49.766333333333336
2715,Column,13,0.35,0.55,3.3,10,Steel,972,8,14,17,5.94,64.152,74.29886195937422,64.152,0.8634317983911731,61139.184283536684,4,16.038
2716,Column,12,0.35,0.55,3.3,7,Steel,947,9,12,14,5.94,45.322,43.86803679795675,45.322,1.033144022577071,42992.00742038417,3,15.107333333333335
2717,Beam,11,0.3,0.6,5.5,7,Steel,896,12,12,14,9.9,77.616,81.57081135908366,77.616,0.95151683190113,73323.32601941383,3,25.872
2718,Slab,18,8.0,4.0,0.15,1,Plywood,470,16,17,21,3.6,4.176,4.999765040441162,4.176,0.8352392494891168,2152.360088423424,5,0.8352
2719,Slab,15,6.0,5.0,0.15,1,Plywood,445,16,15,18,3.3,3.828,3.4591426106188745,3.828,1.1066326055042677,1753.9681491571585,4,0.957
2720,Beam,5,0.3,0.6,5.0,16,Steel,901,12,4,7,9.0,161.28,172.07702300327426,161.28,0.9372547082996152,144814.35098519147,4,40.32
2721,Column,16,0.3,0.6,3.3,36,Steel,948,11,16,20,5.94,237.362,250.1051855263594,237.362,0.9490486952537961,227047.868293168,5,47.4724
2722,Wall,17,5.0,0.2,3.0,8,Plywood,456,12,16,18,31.2,279.552,319.3138586910635,279.552,0.8754771908301884,123526.95268521302,3,93.18400000000001
2723,Column,3,0.4,0.4,2.8,33,Steel,967,8,2,6,4.48,159.667,160.71832127273197,159.667,0.9934586096693486,147454.69602853706,5,31.9334
2724,Beam,10,0.3,0.6,5.5,12,Steel,956,13,9,11,9.9,134.244,137.34535961521286,134.244,0.9774192617508037,146898.15148397573,3,44.748
2725,Wall,20,5.0,0.2,3.0,3,Plywood,534,11,20,22,31.2,103.896,98.74082532968986,103.896,1.0522091511094556,53776.2143785661,3,34.632
2726,Beam,16,0.3,0.6,4.0,29,Steel,925,10,15,19,7.2,229.68,257.7571327206322,229.68,0.8910713646436184,207137.8632036276,5,45.936
2727,Column,4,0.3,0.6,3.3,28,Steel,895,10,3,7,5.94,182.952,207.726019306137,182.952,0.8807370430103597,184077.62521153488,5,36.5904
2728,Column,2,0.3,0.45,3.3,24,Steel,924,9,3,7,4.95,129.492,121.85184202028769,129.492,1.0627003896948908,129545.8385729985,5,25.8984
2729,Beam,15,0.23,0.45,5.5,23,Steel,906,12,15,19,7.48,192.685,196.16048289043195,192.685,0.9822824513927546,181069.24348576064,5,38.537
2730,Column,12,0.4,0.4,3.0,22,Steel,914,11,12,16,4.8,117.216,136.89322558092965,117.216,0.8562585876881342,115685.33235167256,5,23.443199999999997
2731,Slab,25,6.0,5.0,0.15,1,Plywood,480,16,26,28,3.3,3.828,3.448309033089274,3.828,1.1101093211969368,2089.163702829543,3,1.276
2732,Beam,14,0.23,0.6,4.5,29,Steel,896,12,14,18,7.47,242.626,240.10941548066603,242.626,1.0104809905696372,210844.0355059404,5,48.5252
2733,Column,24,0.4,0.4,3.2,22,Steel,996,8,25,27,5.12,121.651,129.74233470567825,121.651,0.9376353545353294,121011.99608124774,3,40.550333333333334
2734,Column,6,0.4,0.4,3.0,21,Steel,948,11,7,11,4.8,111.888,111.91352813088986,111.888,0.9997718941461662,119016.7152766541,5,22.3776
2735,Slab,12,7.5,4.0,0.15,1,Plywood,491,16,12,16,3.45,4.002,3.92841745412671,4.002,1.0187308367128838,2173.521352401692,5,0.8004
2736,Beam,4,0.25,0.5,4.0,21,Steel,945,13,4,7,6.0,142.38,147.7920411301558,142.38,0.9633806997401869,154576.91441089413,4,35.595
2737,Slab,15,6.0,5.0,0.15,1,Plywood,466,15,14,18,3.3,3.795,3.6221640585828867,3.795,1.0477162101499986,1791.074164438144,5,0.759
2738,Beam,5,0.3,0.6,5.5,19,Steel,959,12,6,9,9.9,210.672,223.07796262902488,210.672,0.9443873232352592,230112.64593371892,4,52.668
2739,Column,13,0.3,0.45,3.0,32,Steel,949,9,14,16,4.5,156.96,174.54089754279718,156.96,0.8992734780770428,151746.1247226201,3,52.32
2740,Beam,9,0.25,0.5,5.5,5,Steel,886,11,8,11,8.25,45.788,49.11168158728615,45.788,0.9323240117246041,44341.76374313384,4,11.447
2741,Beam,5,0.23,0.6,4.0,22,Steel,897,11,5,7,6.64,162.149,150.463375466814,162.149,1.0776642455144398,163853.84833677232,3,54.04966666666667
2742,Beam,3,0.25,0.5,5.0,29,Steel,914,10,2,6,7.5,239.25,275.932428281734,239.25,0.8670601041343342,215209.9128579149,5,47.85
2743,Slab,13,6.0,5.0,0.15,1,Plywood,419,13,14,17,3.3,3.729,3.551847706797253,3.729,1.0498760948741486,1548.5885144396807,4,0.93225
2744,Wall,24,4.0,0.2,3.0,16,Plywood,570,10,23,25,25.2,443.52,500.9308255533143,443.52,0.8853917095441273,269540.09287158493,3,147.84
2745,Slab,5,10.0,4.0,0.15,1,Plywood,495,13,4,7,4.2,4.746,4.784772604722656,4.746,0.9918966672137384,2628.280943500267,4,1.1865
2746,Beam,11,0.25,0.5,6.0,21,Steel,908,12,12,15,9.0,211.68,240.22047664695472,211.68,0.8811904919791669,185630.07403103227,4,52.92
2747,Beam,6,0.3,0.6,5.5,5,Steel,925,12,6,10,9.9,55.44,53.32673092943771,55.44,1.0396287009109668,57444.87393718044,5,11.088
2748,Beam,21,0.23,0.45,4.0,26,Steel,908,11,22,26,5.44,156.998,150.08987308679252,156.998,1.0460266024024998,145209.1282205898,5,31.3996
2749,Column,11,0.3,0.6,3.3,34,Steel,909,9,12,14,5.94,220.136,230.9463845048795,220.136,0.9531909342159409,206355.92632422928,3,73.37866666666666
2750,Slab,25,6.0,5.0,0.15,1,Plywood,447,15,25,27,3.3,3.795,3.452997652734083,3.795,1.0990450564005219,1726.8524435172042,3,1.265
2751,Wall,7,3.0,0.2,3.0,12,Plywood,527,11,7,10,19.2,255.744,247.45513278286472,255.744,1.0334964448864696,152607.55506270836,4,63.936
2752,Column,3,0.4,0.4,3.3,7,Steel,972,11,4,8,5.28,41.026,45.83439799743453,41.026,0.8950919351508956,38926.55258744014,5,8.205200000000001
2753,Wall,15,4.0,0.2,3.0,24,Plywood,487,12,15,19,25.2,677.376,779.8054413001848,677.376,0.8686474396364787,351276.58214363124,5,135.4752
2754,Slab,17,7.5,4.0,0.15,1,Plywood,475,14,16,20,3.45,3.933,3.6350186509102227,3.933,1.0819751912456244,1830.1046127046175,5,0.7866
2755,Beam,25,0.3,0.6,4.0,19,Steel,919,11,25,29,7.2,151.848,176.8457208068272,151.848,0.8586467306487287,158487.65903239988,5,30.369600000000002
2756,Wall,22,4.0,0.2,3.0,16,Plywood,534,10,22,25,25.2,443.52,505.2824491024997,443.52,0.8777664864231791,262794.0553919511,4,110.88
2757,Column,23,0.35,0.55,3.0,6,Steel,914,9,24,28,5.4,35.316,40.99853117615616,35.316,0.8613967131714954,32174.36504033621,5,7.0632
2758,Column,16,0.23,0.45,3.0,35,Steel,958,10,15,19,4.08,157.08,174.28474720597328,157.08,0.9012836895839179,151920.59998330663,5,31.416000000000004
2759,Column,9,0.35,0.55,3.3,6,Steel,939,9,9,11,5.94,38.848,42.82004950747078,38.848,0.9072385587322177,37437.762381118344,3,12.949333333333334
2760,Beam,11,0.25,0.5,6.0,18,Steel,860,10,11,13,9.0,178.2,188.45148425461642,178.2,0.9456014671618841,158015.61391487523,3,59.4
2761,Beam,4,0.23,0.6,4.5,7,Steel,899,11,5,7,7.47,58.042,63.60452282517747,58.042,0.9125451685178656,58100.52061328977,3,19.347333333333335
2762,Wall,11,5.0,0.2,3.0,16,Plywood,550,10,10,14,31.2,549.12,645.6184497020442,549.12,0.850533314612402,321014.82116741204,5,109.824
2763,Column,10,0.4,0.4,2.8,10,Steel,925,11,10,14,4.48,49.728,46.25482742593503,49.728,1.0750877858019543,47635.476753223134,5,9.9456
2764,Column,1,0.3,0.45,3.2,31,Steel,949,11,1,3,4.8,165.168,164.29745618306495,165.168,1.0052985836613628,171460.9992213847,3,55.056000000000004
2765,Beam,6,0.25,0.5,5.0,14,Steel,909,12,7,11,7.5,117.6,108.39621146846235,117.6,1.0849087657848213,111342.48453947014,5,23.52
2766,Column,14,0.35,0.55,3.2,25,Steel,933,8,14,16,5.76,155.52,184.04883010222107,155.52,0.8449931461863892,141566.68139367714,3,51.84
2767,Slab,10,6.0,5.0,0.15,1,Plywood,413,14,9,13,3.3,3.762,3.8883266049269096,3.762,0.9675113184250416,1509.4220181069343,5,0.7524
2768,Beam,25,0.23,0.45,5.5,9,Steel,871,10,25,28,7.48,74.052,81.64998262275392,74.052,0.906944467363101,65479.12241389186,4,18.513
2769,Wall,12,6.0,0.2,3.0,22,Plywood,534,10,13,16,37.2,900.24,1037.378978060811,900.24,0.8678024319355622,514655.0920095009,4,225.06
2770,Slab,24,6.0,5.0,0.15,1,Plywood,501,15,23,27,3.3,3.795,4.543753782435082,3.795,0.8352125096809689,1857.50487841019,5,0.759
2771,Column,17,0.3,0.6,3.2,6,Steel,1006,9,18,22,5.76,37.67,35.7313035555104,37.67,1.0542576467012388,40170.79810708648,5,7.534000000000001
2772,Column,2,0.3,0.6,3.0,6,Steel,959,11,2,6,5.4,35.964,40.99370140561511,35.964,0.8773055071107541,34624.74127479986,5,7.1928
2773,Column,6,0.23,0.45,3.3,14,Steel,948,9,7,10,4.488,68.487,79.87137960740719,68.487,0.8574660953226928,70709.42942156745,4,17.12175
2774,Wall,18,4.5,0.2,3.0,6,Plywood,483,10,17,20,28.2,186.12,170.23700554184552,186.12,1.093299305915307,85909.3025308886,4,46.53
2775,Slab,14,7.5,4.0,0.15,1,Plywood,464,12,15,19,3.45,3.864,4.351741777367116,3.864,0.8879203311410152,1871.4332468415585,5,0.7727999999999999
2776,Beam,8,0.25,0.5,6.0,11,Steel,927,11,7,11,9.0,109.89,110.59522966388667,109.89,0.9936233265573031,97839.43767994126,5,21.978
2777,Column,14,0.23,0.45,3.2,38,Steel,1011,8,14,17,4.352,178.606,195.49838356121037,178.606,0.9135932315475059,183478.13451992857,4,44.6515
2778,Wall,23,4.0,0.2,3.0,12,Plywood,528,10,23,26,25.2,332.64,350.67389757911036,332.64,0.9485735958575531,167399.32872913402,4,83.16
2779,Column,10,0.35,0.55,2.8,34,Steel,943,9,9,11,5.04,186.782,182.65835319877388,186.782,1.0225757362256445,183853.6367060932,3,62.26066666666667
2780,Slab,2,8.0,4.0,0.15,1,Plywood,440,15,1,5,3.6,4.14,3.8939449316089503,4.14,1.063189149490458,2009.959221203909,5,0.828
2781,Slab,8,8.0,4.0,0.15,1,Plywood,431,16,9,13,3.6,4.176,3.90491149361416,4.176,1.0694224457658414,1745.9395272514528,5,0.8352
2782,Column,24,0.4,0.4,2.8,14,Steel,863,11,24,26,4.48,69.619,64.81507020924225,69.619,1.0741174818641597,65911.74902931269,3,23.206333333333333
2783,Beam,20,0.23,0.45,6.0,25,Steel,867,11,21,25,8.16,226.44,247.12235300642214,226.44,0.9163072350404309,209445.55556701918,5,45.288
2784,Column,21,0.4,0.4,3.2,24,Steel,914,11,20,24,5.12,136.397,137.13671576950284,136.397,0.9946059976327116,131015.02588641985,5,27.2794
2785,Beam,23,0.25,0.5,4.5,6,Steel,875,11,23,27,6.75,44.955,43.3811268643635,44.955,1.0362801349203632,42085.05350976644,5,8.991
2786,Wall,3,4.5,0.2,3.0,23,Plywood,495,12,3,7,28.2,726.432,804.5710414993604,726.432,0.9028811161861554,365761.28409443406,5,145.28640000000001
2787,Slab,8,8.0,4.0,0.15,1,Plywood,443,14,8,12,3.6,4.104,4.539249185371673,4.104,0.904114278023264,1985.458090639724,5,0.8208
2788,Slab,2,10.0,4.0,0.15,1,Plywood,488,14,2,6,4.2,4.788,5.083661335141592,4.788,0.9418408671132777,2584.061508988986,5,0.9576
2789,Beam,1,0.23,0.6,6.0,22,Steel,927,12,1,4,9.96,245.414,289.7081213004948,245.414,0.8471077679781318,251532.83478629013,4,61.3535
